canonical_row_index,paper_doi,mechanism_simple,log_estimated_power_density,log_internal_resistance_Mohm,has_missing_nonresistance_descriptor
0,10.1038/nnano.2016.300,streaming,-2.425852935849277,0.9030899869919436,False
1,10.1021/acsaelm.9b00419,streaming,-2.6987529113637887,1.5352941200427703,False
2,10.1002/adma.202514202,streaming,-2.0279824013259846,1.7781512503836436,False
5,10.1038/s44221-024-00311-9,ion_gradient,-2.505011026316832,0.3010299956639812,False
11,10.1016/j.apmt.2023.101801,streaming,-1.3320709851484356,0.3010299956639812,False
12,10.1016/j.applthermaleng.2019.114623,streaming,-1.580564725855803,0.3222192947339193,False
14,10.1021/acsami.9b09582,streaming,-0.9488436171743811,0.7781512503836436,False
15,10.1038/s41467-024-54216-y,streaming,-2.096855729590461,-0.1549019599857432,False
16,10.1002/aenm.201702481,streaming,-1.3516302297021636,0.380211241711606,False
17,10.1016/j.cej.2021.132759,streaming,-1.6575575789681631,0.0791812460476248,False
19,10.1016/j.nanoen.2020.105522,ion_gradient,-1.9585678353197349,0.3010299956639812,False
20,10.1002/adfm.201700551,streaming,-1.1249329460538116,0.1760912590556812,False
21,10.1021/acsami.9b23380,streaming,-1.5228642690388767,-1.0,False
22,10.1016/j.nanoen.2019.03.041,streaming,-0.8461820879855898,2.8609366207000937,False
23,10.1021/acsami.1c13487,streaming,-1.4629873008541796,-1.6989700043360187,False
26,10.1016/j.nanoen.2023.108491,streaming,-1.2561689448723472,0.0,False
28,10.1021/acsami.2c18317,streaming,-1.051826744841486,-1.0,False
29,10.1016/j.cej.2025.163895,ion_gradient,-1.2022063603988264,-1.7212463990471711,False
30,10.1021/acssuschemeng.3c01952,streaming,-1.1036722364925795,0.0,False
31,10.1016/j.matt.2025.102200,streaming,-0.9999956570768956,-2.285670240254767,False
32,10.1021/acsami.4c12675,streaming,-1.0457526650932398,-0.8538719643217619,False
35,10.1016/j.nanoen.2018.12.042,streaming,-0.6430166900243307,-0.5686362358410126,False
36,10.1016/j.ceramint.2025.12.050,streaming,-0.0115520833175728,0.041392685158225,False
37,10.1016/j.jpowsour.2023.233007,streaming,0.2730015036873995,-2.3010299956639813,False
38,10.1002/adfm.202521733,ion_gradient,-0.8519343762392272,-1.0,False
39,10.1039/d5mh01101a,streaming,0.4938066014591326,-1.3010299956639813,False
40,10.1002/advs.202400856,streaming,-0.6856039371129267,-1.1249387366083,False
41,10.1021/acsami.1c04508,ion_gradient,-0.1031977515497815,-0.6989700043360187,False
42,10.1016/j.nanoen.2020.104663,streaming,-0.0636742914344295,-1.6989700043360187,False
43,10.1002/adfm.202208933,ion_gradient,0.1303340901945032,-1.0,False
44,10.1016/j.ceramint.2024.03.066,streaming,-0.08354552503284,-0.1249387366082999,False
45,10.1002/advs.202304482,ion_gradient,-0.2084840861688702,-0.0969100130080563,False
46,10.1002/adfm.202419753,ion_gradient,0.4313639250087656,0.0,False
48,10.1002/adfm.202314231,ion_gradient,0.2505727104835085,-1.275724130399211,False
49,10.1016/j.cej.2022.140568,ion_gradient,0.024793833534066,-0.3010299956639812,False
51,10.1021/acsami.4c07729,ion_gradient,0.5130978195209875,-2.0,False
52,10.1016/j.nanoen.2025.110992,streaming,0.7172543960404865,0.4771212547196624,False
54,10.1002/adfm.202418823,ion_gradient,0.6733436035558605,-2.3010299956639813,False
55,10.1016/j.nanoen.2019.104385,ion_gradient,0.518514071482256,-0.0457574905606751,False
56,10.1016/j.jpowsour.2024.235934,ion_gradient,0.4586380000845733,0.9030899869919436,False
57,10.1002/eem2.70017,ion_gradient,1.0213051368432924,-1.3010299956639813,False
58,10.1002/adfm.202510747,ion_gradient,0.8293038371709434,-1.3187587626244128,False
60,10.1016/j.cej.2025.171723,streaming,0.8826668698713812,-0.3187587626244128,False
61,10.1002/adfm.202531296,ion_gradient,1.1972805856998712,-2.0,False
62,10.1021/acsnano.4c00990,ion_gradient,1.3424227005628642,-2.5228787452803374,False
63,10.1021/acsami.4c01026,streaming,1.611192071499878,1.0,False
64,10.1021/acsami.3c04726,ion_gradient,1.208239776599343,-1.3979400086720375,False
65,10.1002/adma.202312209,ion_gradient,1.3434086134997518,-2.0,False
67,10.1016/j.nanoen.2022.107378,ion_gradient,-1.0974477852446545,-1.6575773191777938,False
68,10.1016/j.nanoen.2025.110731,ion_gradient,1.1760912880086458,-0.585026652029182,False
70,10.1016/j.nanoen.2020.104502,streaming,-2.124880834537432,0.3010299956639812,False
71,10.1002/smll.202400961,streaming,-1.2819053934403335,0.6989700043360189,False
73,10.1002/adfm.201901798,streaming,-3.217527375833714,3.0,False
75,10.1016/j.cej.2021.133236,streaming,-0.9140818078661233,-1.0,False
79,10.1021/acsami.8b16529,ion_gradient,-0.3625092698101124,-2.036212172654445,False
80,10.1016/j.carbon.2024.119008,ion_gradient,0.2125207909164396,-1.769551078621726,False
81,10.1016/j.surfin.2023.102853,ion_gradient,0.1606188724301003,-2.3279021420642825,False
82,10.1002/smll.202306318,ion_gradient,0.5012306171771781,-2.508638306165728,False
83,10.1016/j.carbon.2023.118687,ion_gradient,1.2588766533002014,-3.4685210829577446,False
86,10.1002/anie.201602708,ion_gradient,-4.2839966563652006,1.625312450961674,False
87,10.1016/j.nanoen.2020.104610,ion_gradient,-3.3849710398487907,-0.0969100130080563,False
88,10.1016/j.nanoen.2023.108973,ion_gradient,-1.7308140671860484,1.1172712956557642,False
91,10.1021/acsaem.4c00368,ion_gradient,-2.3159629625134803,-0.9208187539523752,False
92,10.1021/acsami.0c17931,ion_gradient,-2.2217763732339035,2.0,False
95,10.1002/adfm.202418834,ion_gradient,-1.9999565727231368,0.0,False
97,10.1021/acsnano.4c09494,ion_gradient,-1.325588995834374,0.0,False
100,10.1002/adma.202304099,streaming,-0.3362039359154635,0.2013971243204515,False
101,10.1038/s41586-020-2010-9,ion_gradient,-1.1249329460538116,0.0,False
103,10.1021/acsami.3c14264,ion_gradient,-0.7447250821562743,0.0,False
104,10.1016/j.reactfunctpolym.2023.105806,ion_gradient,-1.338816977303591,1.6283889300503116,False
105,10.1039/C9EE00838A,ion_gradient,-0.8239058456574236,1.0,False
106,10.1016/j.applthermaleng.2025.127255,ion_gradient,-0.7759825958319986,-0.3098039199714863,False
107,10.1016/j.apsusc.2025.164747,ion_gradient,-0.6839226676323439,2.3010299956639813,False
110,10.1016/j.nanoen.2022.107017,ion_gradient,-0.3716100480815215,1.0,False
111,10.1016/j.nanoen.2020.104922,ion_gradient,-0.4865147119229158,-0.1301817920206718,False
112,10.1038/s41467-024-49393-9,ion_gradient,-0.0668919995997447,-3.0,False
113,10.1016/j.nanoen.2024.110187,ion_gradient,-0.3170421724868569,-0.6575773191777937,False
114,10.1063/5.0139883,streaming,-0.1249381575493767,0.0,False
116,10.1016/j.cej.2023.143443,ion_gradient,0.0330218471799269,0.0,False
117,10.1021/acssuschemeng.5c09332,ion_gradient,0.0791816079595423,-2.0,False
118,10.1016/j.nanoen.2020.105630,ion_gradient,-1.5281071486294195,-2.5228787452803374,False
122,10.1038/s41467-022-31221-7,ion_gradient,0.2091129720699776,-1.0,False
123,10.1002/adfm.202406901,ion_gradient,0.315550744428857,-2.0,False
124,10.1039/d4cc01652a,ion_gradient,0.3424228782287441,-1.4436974992327127,False
125,10.1038/s41467-025-61898-5,ion_gradient,0.4548450123925122,-2.0,False
126,10.1002/adma.202201228,ion_gradient,0.386944802542633,0.3424226808222063,False
127,10.1016/j.nanoen.2021.106605,ion_gradient,0.4490926855352072,-1.3010299956639813,False
128,10.1038/s41565-021-00903-6,ion_gradient,0.7419391564057284,1.3010299956639813,False
129,10.1021/acsnano.4c01179,ion_gradient,0.1639439505925984,-1.0969100130080565,False
130,10.1039/C8EE01502C,ion_gradient,0.3064252420170452,1.6989700043360187,False
131,10.1021/acs.nanolett.2c00919,ion_gradient,0.4382457565100884,-1.154901959985743,False
